izlenme,begeni
748374,57527
2418783,97185
3191434,146033
343168,10172
2095731,132235
119180,9763
2103417,15993
817732,23663
826059,3543
256426,12654
81377,655
104578,1576
687582,114188
544770,7848
207532,7473
75752,9419
295639,8011
78044,5398
97007,11963
223871,8421
115791,9586
224019,3585
144418,11758
145921,1707
33980,4884
223077,8676
80705,4687
120727,9033
27943,156
50867,715
98378,4035
26000,119
17158531,787419
67661,3781
141148,1661
98966,2486
288922,7515
13917,1318
605932,38397
57169,6927
60506,5389
34785,308
945,7
328330,15186
321053,4451
1456472,33505
69844,3417
956169,2017
4569,35
2045386,45406
1842393,99086
6473,205
1044813,15397
9548677,190083
197062,7250
1496225,16116
162597,5734
9132,21
7265,89
291597,8209
290801,10237
5304,52
812516,26917
2642930,115795
105058,493
537715,8231
2744430,115426
3358068,120876
4732,203
7224515,55681
33523622,1634124
52591,2233
75822,2978
43715,1550
303956,18603
238643,2429
237307,1896
1282413,37669
1497519,15504
148226,355
484185,23296
300617,8133
92523,2323
7524,67
103927,3571
177707,6271
1751064,16430
46746,439
746092,34839
836830,82320
67429,438
2237404,72593
45455,2282
2063667,98804
2736733,58967
165698,8599
836544,40195
284666,16396
3371669,202676
195685,14338
212702,29282
432721,14053
482153,76203
925222,85016
141695,8091
141253,14354
187654,9286
91051,1674
2340941,200598
635236,5945
294065,0
1504950,108635
335121,23410
53248,5164
55313,4153
172608,8163
373013,23645
79611,56
255349,20069
653398,27773
152390,4666
321090,36515
2418783,97192
72519,689
166132,13758
240158,6765
49188,4835
160173,6226
3641421,218587
102804,6306
89653,11224
567108,36790
269993,15354
129864,12564
265303,1475
117799,14369
160820,2453
15624,1961
35870,1343
161866,8459
294947,16263
1388115,17378
84521,2286
173226,7044
207278,8984
161552,14663
74384,6123
508175,25919
2990802,23443
57030,4315
