izlenme,begeni
945,0
4569,7
4732,21
5304,35
6473,52
7265,56
7524,67
9132,89
13917,119
15624,156
26000,203
27943,205
33980,308
34785,355
35870,438
43715,439
45455,493
46746,655
49188,689
50867,715
52591,1318
53248,1343
55313,1475
57030,1550
57169,1576
60506,1661
67429,1674
67661,1707
69844,1896
72519,1961
74384,2017
75752,2233
75822,2282
78044,2286
79611,2323
80705,2429
81377,2453
84521,2486
89653,2978
91051,3417
92523,3543
97007,3571
98378,3585
98966,3781
102804,4035
103927,4153
104578,4315
105058,4451
115791,4666
117799,4687
119180,4835
120727,4884
129864,5164
141148,5389
141253,5398
141695,5734
144418,5945
145921,6123
148226,6226
152390,6271
160173,6306
160820,6765
161552,6927
161866,7044
162597,7250
165698,7473
166132,7515
172608,7848
173226,8011
177707,8091
187654,8133
195685,8163
197062,8209
207278,8231
207532,8421
212702,8459
223077,8599
223871,8676
224019,8984
237307,9033
238643,9286
240158,9419
255349,9586
256426,9763
265303,10172
269993,10237
284666,11224
288922,11758
290801,11963
291597,12564
294065,12654
294947,13758
295639,14053
300617,14338
303956,14354
321053,14369
321090,14663
328330,15186
335121,15354
343168,15397
